subscription,resource_group_name,provider,resource_name,metric_name,unit,aggregation,timestamp,metric_value
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/flexibleServers,sstero-mysql-flexi,Com_drop_table,Count,total,2023-01-08T08:22:00+00:00,1.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/flexibleServers,sstero-mysql-flexi,Com_insert,Count,total,2023-01-08T08:22:00+00:00,19.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/flexibleServers,sstero-mysql-flexi,Com_select,Count,total,2023-01-08T08:22:00+00:00,4641.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/flexibleServers,sstero-mysql-flexi,Com_select,Count,total,2023-01-09T08:22:00+00:00,21045.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/flexibleServers,sstero-mysql-flexi,Com_select,Count,total,2023-01-10T08:22:00+00:00,21033.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/flexibleServers,sstero-mysql-flexi,Com_select,Count,total,2023-01-11T08:22:00+00:00,21028.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/flexibleServers,sstero-mysql-flexi,Innodb_buffer_pool_pages_data,Count,total,2023-01-08T08:22:00+00:00,793224.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/flexibleServers,sstero-mysql-flexi,Innodb_buffer_pool_pages_data,Count,total,2023-01-09T08:22:00+00:00,3632892.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/flexibleServers,sstero-mysql-flexi,Innodb_buffer_pool_pages_data,Count,total,2023-01-10T08:22:00+00:00,3634740.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/flexibleServers,sstero-mysql-flexi,Innodb_buffer_pool_pages_data,Count,total,2023-01-11T08:22:00+00:00,3633470.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/flexibleServers,sstero-mysql-flexi,Innodb_buffer_pool_pages_dirty,Count,total,2023-01-08T08:22:00+00:00,6.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/flexibleServers,sstero-mysql-flexi,Innodb_buffer_pool_pages_dirty,Count,total,2023-01-09T08:22:00+00:00,42.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/flexibleServers,sstero-mysql-flexi,Innodb_buffer_pool_pages_dirty,Count,total,2023-01-10T08:22:00+00:00,42.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/flexibleServers,sstero-mysql-flexi,Innodb_buffer_pool_pages_dirty,Count,total,2023-01-11T08:22:00+00:00,48.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/flexibleServers,sstero-mysql-flexi,Innodb_buffer_pool_pages_free,Count,total,2023-01-08T08:22:00+00:00,40228556.0
