subscription,resource_group_name,provider,resource_name,metric_name,unit,aggregation,timestamp,metric_value
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/servers,sstero-mysql-single,active_connections,Count,maximum,2023-01-10T13:22:00+00:00,12.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/servers,sstero-mysql-single,active_connections,Count,maximum,2023-01-10T14:22:00+00:00,7.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/servers,sstero-mysql-single,active_connections,Count,maximum,2023-01-10T15:22:00+00:00,7.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/servers,sstero-mysql-single,active_connections,Count,maximum,2023-01-10T16:22:00+00:00,7.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/servers,sstero-mysql-single,active_connections,Count,maximum,2023-01-10T17:22:00+00:00,7.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/servers,sstero-mysql-single,active_connections,Count,maximum,2023-01-10T18:22:00+00:00,8.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/servers,sstero-mysql-single,active_connections,Count,maximum,2023-01-10T19:22:00+00:00,7.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/servers,sstero-mysql-single,active_connections,Count,maximum,2023-01-10T20:22:00+00:00,7.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/servers,sstero-mysql-single,active_connections,Count,maximum,2023-01-10T21:22:00+00:00,7.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/servers,sstero-mysql-single,active_connections,Count,maximum,2023-01-10T22:22:00+00:00,7.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/servers,sstero-mysql-single,active_connections,Count,maximum,2023-01-10T23:22:00+00:00,7.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/servers,sstero-mysql-single,active_connections,Count,maximum,2023-01-11T00:22:00+00:00,8.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/servers,sstero-mysql-single,active_connections,Count,maximum,2023-01-11T01:22:00+00:00,7.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/servers,sstero-mysql-single,active_connections,Count,maximum,2023-01-11T02:22:00+00:00,7.0
b9e10748-d338-4642-a355-853fb8a0da52,reporting,Microsoft.DBforMySQL/servers,sstero-mysql-single,active_connections,Count,maximum,2023-01-11T03:22:00+00:00,7.0
